date,value,volume,start,close,name
6/2/2023,33000,1261,,,TDB
6/5/2023,32840,4174,33000,32840,TDB
6/6/2023,34820,9074,32840,34820,TDB
6/7/2023,34800,2727,34820,34800,TDB
6/8/2023,33080,42,34800,33080,TDB
6/9/2023,32500,4,33080,32500,TDB
6/12/2023,35280,24441,32500,35280,TDB
6/13/2023,34580,40,35280,34580,TDB
6/14/2023,38240,4387,34580,38240,TDB
6/15/2023,34860,234,38240,34860,TDB
6/16/2023,34500,14,34860,34500,TDB
6/19/2023,36380,15,34500,36380,TDB
6/20/2023,34900,5,36380,34900,TDB
6/21/2023,35540,38,34900,35540,TDB
6/22/2023,36000,46,35540,36000,TDB
6/23/2023,35460,15,36000,35460,TDB
6/26/2023,34700,38,35460,34700,TDB
6/27/2023,34600,43,34700,34600,TDB
6/28/2023,34560,20,34600,34560,TDB
6/29/2023,34340,28,34560,34340,TDB
6/30/2023,34000,68,34340,34000,TDB
7/3/2023,34260,119,34000,34260,TDB
7/4/2023,34000,89,34260,34000,TDB
7/5/2023,33580,66,34000,33580,TDB
7/6/2023,33500,95,33580,33500,TDB
7/7/2023,33600,33,33500,33600,TDB
7/17/2023,33100,230,33600,33100,TDB
7/18/2023,33000,94,33100,33000,TDB
7/19/2023,33100,39,33000,33100,TDB
7/20/2023,33420,76,33100,33420,TDB
7/21/2023,33500,59,33420,33500,TDB
7/24/2023,33000,25,33500,33000,TDB
7/25/2023,33460,17,33000,33460,TDB
7/26/2023,33000,17,33460,33000,TDB
7/27/2023,33000,26,33000,33000,TDB
7/28/2023,33000,20,33000,33000,TDB
7/31/2023,33000,47,33000,33000,TDB
8/1/2023,33000,19,33000,33000,TDB
8/2/2023,33000,9,33000,33000,TDB
8/3/2023,32540,56,33000,32540,TDB
8/4/2023,32100,48,32540,32100,TDB
8/7/2023,32020,48,32100,32020,TDB
8/8/2023,32020,141,32020,32020,TDB
8/9/2023,30980,54,32020,30980,TDB
8/10/2023,31140,83,30980,31140,TDB
8/11/2023,31200,2,31140,31200,TDB
8/14/2023,29700,36,31200,29700,TDB
8/15/2023,29080,55,29700,29080,TDB
8/16/2023,31980,5230,29080,31980,TDB
8/17/2023,30000,76,31980,30000,TDB
8/18/2023,29300,96,30000,29300,TDB
8/21/2023,29300,16,29300,29300,TDB
8/22/2023,29300,38,29300,29300,TDB
8/23/2023,29320,20,29300,29320,TDB
8/24/2023,29320,283,29320,29320,TDB
8/25/2023,29220,10,29320,29220,TDB
8/28/2023,29200,1,29220,29200,TDB
8/29/2023,29240,78,29200,29240,TDB
8/30/2023,29100,16,29240,29100,TDB
8/31/2023,29220,28,29100,29220,TDB
9/1/2023,29100,12,29220,29100,TDB
9/4/2023,29700,52,29100,29700,TDB
9/5/2023,28440,110,29700,28440,TDB
9/6/2023,27000,137,28440,27000,TDB
9/7/2023,28980,4,27000,28980,TDB
9/11/2023,28000,73,28980,28000,TDB
9/12/2023,27980,15,28000,27980,TDB
9/13/2023,27840,32,27980,27840,TDB
9/14/2023,27200,31,27840,27200,TDB
9/15/2023,26560,148,27200,26560,TDB
9/18/2023,26300,105,26560,26300,TDB
9/19/2023,25380,11,26300,25380,TDB
9/20/2023,25640,19,25380,25640,TDB
9/21/2023,27800,56,25640,27800,TDB
9/22/2023,25640,19,27800,25640,TDB
9/25/2023,27500,34,25640,27500,TDB
9/26/2023,26300,18,27500,26300,TDB
9/27/2023,27960,31,26300,27960,TDB
9/28/2023,27960,8,27960,27960,TDB
10/2/2023,27900,6,27960,27900,TDB
10/3/2023,27500,98,27900,27500,TDB
10/4/2023,25660,54,27500,25660,TDB
10/5/2023,27480,29,25660,27480,TDB
10/9/2023,28100,557,27480,28100,TDB
10/10/2023,28180,34,28100,28180,TDB
10/11/2023,26320,29,28180,26320,TDB
10/12/2023,28260,10,26320,28260,TDB
10/13/2023,28220,6,28260,28220,TDB
10/16/2023,28180,3,28220,28180,TDB
10/17/2023,28120,17,28180,28120,TDB
10/18/2023,27980,47,28120,27980,TDB
10/20/2023,26540,105,27980,26540,TDB
10/23/2023,27300,59,26540,27300,TDB
10/24/2023,26640,40,27300,26640,TDB
10/25/2023,26600,126,26640,26600,TDB
10/26/2023,26600,5,26600,26600,TDB
10/27/2023,25700,41,26600,25700,TDB
10/30/2023,25000,228,25700,25000,TDB
10/31/2023,26140,54,25000,26140,TDB
11/1/2023,26360,8,26140,26360,TDB
11/2/2023,26360,5,26360,26360,TDB
11/3/2023,26340,226,26360,26340,TDB
11/6/2023,26300,156,26340,26300,TDB
11/7/2023,26300,8,26300,26300,TDB
11/8/2023,25300,69,26300,25300,TDB
11/9/2023,25140,32,25300,25140,TDB
6/2/2023,571.11,5651,,,SBM
6/5/2023,571.89,5289,571.11,571.89,SBM
6/6/2023,571.99,3676,571.89,571.99,SBM
6/7/2023,560.54,13761,571.99,560.54,SBM
6/8/2023,554.98,12424,560.54,554.98,SBM
6/9/2023,560,2128,554.98,560,SBM
6/12/2023,550.04,9348,560,550.04,SBM
6/13/2023,550.37,3192,550.04,550.37,SBM
6/14/2023,552.7,13043,550.37,552.7,SBM
6/15/2023,545.3,3850,552.7,545.3,SBM
6/16/2023,538.77,16179,545.3,538.77,SBM
6/19/2023,548.06,1604,538.77,548.06,SBM
6/20/2023,521.12,12862,548.06,521.12,SBM
6/21/2023,528.54,21040,521.12,528.54,SBM
6/22/2023,561.45,32351,528.54,561.45,SBM
6/23/2023,537.05,2665,561.45,537.05,SBM
